Date,Open,High,Low,Close,Adj Close,Var.Day(%),Class,Volume
2000-09-15,16771,16771,16515,16563,16563,-1.23,Baixa,0
2000-09-18,16562,16609,15913,15913,15913,-3.92,Baixa,0
2000-09-19,15923,16189,15824,16188,16188,1.73,Alta,0
2000-09-20,16196,16216,15813,16078,16078,-0.68,Baixa,0
2000-09-21,16065,16172,15946,16146,16146,0.42,Alta,0
2000-09-22,16093,16426,15705,16353,16353,1.28,Alta,0
2000-09-25,16361,16521,16318,16319,16319,-0.21,Baixa,0
2000-09-26,16319,16468,16196,16255,16255,-0.39,Baixa,0
2000-09-27,16289,16404,15745,15848,15848,-2.50,Baixa,0
2000-09-28,15849,16041,15657,16014,16014,1.05,Alta,0
2000-09-29,16020,16135,15821,15928,15928,-0.54,Baixa,0
2000-10-02,15950,16090,15537,15559,15559,-2.32,Baixa,0
2000-10-03,15562,15917,15562,15633,15633,0.48,Alta,0
2000-10-04,15653,15883,15651,15876,15876,1.55,Alta,0
2000-10-05,15876,16398,15876,16362,16362,3.06,Alta,0
2000-10-06,16370,16404,15817,15946,15946,-2.54,Baixa,0
2000-10-09,15946,15975,15617,15855,15855,-0.57,Baixa,0
2000-10-10,15846,16008,15726,15747,15747,-0.68,Baixa,0
2000-10-11,15738,15738,15463,15526,15526,-1.40,Baixa,0
2000-10-13,15441,15441,15067,15385,15385,-0.91,Baixa,0
2000-10-16,15387,15585,15214,15242,15242,-0.93,Baixa,0
2000-10-17,15267,15386,14841,14870,14870,-2.44,Baixa,0
2000-10-18,14837,14837,14218,14421,14421,-3.02,Baixa,0
2000-10-19,14490,14869,14490,14845,14845,2.94,Alta,0
2000-10-20,14846,14918,14490,14529,14529,-2.13,Baixa,0
2000-10-23,14533,14535,13982,13990,13990,-3.71,Baixa,0
2000-10-24,14014,14161,13672,13799,13799,-1.37,Baixa,0
2000-10-25,13796,13927,13571,13665,13665,-0.97,Baixa,0
2000-10-26,13705,14223,13679,14223,14223,4.08,Alta,0
2000-10-27,14251,14700,14251,14692,14692,3.30,Alta,0
2000-10-30,14707,14951,14489,14891,14891,1.35,Alta,0
2000-10-31,14916,15099,14859,14867,14867,-0.16,Baixa,0
2000-11-01,14858,14859,14571,14791,14791,-0.51,Baixa,0
2000-11-03,14785,14925,14425,14534,14534,-1.74,Baixa,0
2000-11-06,14534,14868,14478,14801,14801,1.84,Alta,0
2000-11-07,14780,15029,14543,14969,14969,1.14,Alta,0
2000-11-08,14982,15191,14650,14656,14656,-2.09,Baixa,0
2000-11-09,14667,14782,14409,14524,14524,-0.90,Baixa,0
2000-11-10,14542,14701,14449,14626,14626,0.70,Alta,0
2000-11-13,14606,14609,14199,14372,14372,-1.74,Baixa,0
2000-11-14,14395,14632,14395,14540,14540,1.17,Alta,0
2000-11-16,14546,14575,14419,14490,14490,-0.34,Baixa,0
2000-11-17,14479,14570,14091,14323,14323,-1.15,Baixa,0
2000-11-20,14323,14535,14103,14500,14500,1.24,Alta,0
2000-11-21,14497,14845,14487,14784,14784,1.96,Alta,0
2000-11-22,14766,14766,14555,14577,14577,-1.40,Baixa,0
2000-11-23,14579,14604,14187,14314,14314,-1.80,Baixa,0
2000-11-24,14316,14413,12969,14336,14336,0.15,Alta,0
